crdb;brand;folder;name;seasons;name_source;seasons_source;prestige_cup_info;remark
Nissan_SilviaS15CrewRecycled_1999;Nissan;Nissan Silvia (S15);Nissan Silvia (S15);;repository;;;
Nissan_SilviaS15F3_1999;Nissan;Nissan Silvia Spec S (S15) 'Mona Lisa';Nissan Silvia Spec S (S15) ''Mona Lisa'';;repository;;;
Nissan_SilviaS15RocketBunny_1999;Nissan;Nissan Rocket Bunny Silvia S15;Nissan Rocket Bunny Silvia S15;;repository;;;
Nissan_SilviaS15TNR_1999;Nissan;Nissan Silvia (S15) Spec R (TNR);Nissan Silvia (S15) Spec R;;repository;;;
Nissan_SkylineGTRF4_2002;Nissan;Nissan Skyline GT-R (R34 NISMO S-tune);Nissan Skyline GT-R (R34 NISMO S-tune);;repository;;;
Nissan_SkylineGTRR33F1_1995;Nissan;Nissan Skyline GTR R33;Nissan Skyline GTR R33;;repository;;;
Nissan_SkylineGTRR34F2_1999;Nissan;Nissan C-WEST Nissan Skyline GT-R(BNR34);Nissan C-WEST Nissan Skyline GT-R(BNR34);;repository;;;
Nissan_SkylineGTRR34TNR_2002;Nissan;Nissan Skyline GT-R (R34) (TNR);Nissan Skyline GT-R (R34) (TNR);;repository;;;
Nissan_SkylineR33NismoSTune_1995;Nissan;Nissan Skyline GT-R (BCNR33 NISMO S-tune ver);Nissan Skyline GT-R (BCNR33 NISMO S-tune ver);;repository;;;
Nissan_StillenMaximaF1_1999;Nissan;Nissan Stillen Maxima (A32);Nissan Stillen Maxima (A32);;repository;;;
Nissan_TopSecret350ZF3_2003;Nissan;Nissan Top Secret Fairlady Z (Z33);Nissan Top Secret Fairlady Z (Z33);;repository;;;
Nissan_VeilsideZReward_2023;Nissan;Nissan Veilside Z (RZ34) FFZ400;Nissan Veilside Z (RZ34) FFZ400;247;repository;repository;;
Nissan_VeilsideZRewardRecycled_2023;Nissan;Nissan Veilside Z (RZ34) FFZ400;Nissan Veilside Z (RZ34) FFZ400;247;repository;repository;;
Nissan_Zero4Skyline2000GT_1971;Nissan;Nissan Skyline 2000 GT-Kai Zero-4;Nissan Skyline 2000 GT-Kai Zero-4;;repository;;;
Nissan_ZNISMOReward_2024;Nissan;Nissan NISMO Z (RZ34);Nissan Z NISMO (RZ34);206;repository;repository;;
Nissan_ZNISMORewardRecycled_2024;Nissan;Nissan NISMO Z (RZ34);Nissan Z NISMO (RZ34);206;repository;repository;;
Nissan_ZTNR_2023;Nissan;Nissan Z NISMO (RZ34) (ET);Nissan Z NISMO (RZ34);;repository;;;
Noble_M500_2022;Noble;Noble M500;Noble M500;;repository;;;
Noble_M600CarbonSport_2017;Noble;Noble M600 Carbon Sport;Noble M600 Carbon Sport;;repository;;;
Noble_M600F9_2017;Noble;Noble M600;Noble M600;;repository;;;
Noble_M600Reward_2017;Noble;Noble M600;Noble M600;124;repository;repository;;
Noble_M600RewardRecycled_2017;Noble;Noble M600;Noble M600;124;repository;repository;;
Noble_M600SpeedsterReward_2018;Noble;Noble M600 Speedster;Noble M600 Speedster;168;repository;repository;;
Noble_M600SpeedsterRewardRecycled_2018;Noble;Noble M600 Speedster;Noble M600 Speedster;168;repository;repository;;
Pagani_C10_2023;Pagani;Pagani Utopia;Pagani Utopia;;repository;;;
Pagani_C10Reward_2023;Pagani;Pagani Utopia 'Carbon Edition';Pagani Utopia 'Carbon Editions';204;repository;repository;;repository Stage6 file: [205]
Pagani_C10RewardRecycled_2023;Pagani;Pagani Utopia;Pagani Utopia;204;repository;repository;;repository Stage6 file: [205]
Pagani_Huayra_2014;Pagani;Pagani Huayra;Pagani Huayra;;repository;;;
Pagani_HuayraBCReward_2016;Pagani;Pagani Huayra BC;Pagani Huayra BC;019;repository;repository;;
Pagani_HuayraBCRewardRecycled_2016;Pagani;Pagani Huayra BC;Pagani Huayra BC;019;repository;repository;;
Pagani_HuayraBCRoadster_2019;Pagani;Pagani Huayra Roadster BC;Pagani Huayra Roadster BC;;repository;;;
Pagani_HuayraBCRoadsterLS_2019;Pagani;Pagani Huayra Roadster BC 'Drago Viola Edition';Pagani Huayra Roadster BC 'Drago Viola Edition';;repository;;;
Pagani_HuayraBCRoadsterPB_2019;Pagani;Pagani Huayra Roadster BC 'Launch Edition';Pagani Huayra Roadster BC 'Launch Edition';;repository;;;
Pagani_HuayraCodalunga_2022;Pagani;Pagani Huayra Codalunga;Pagani Huayra Codalunga;;repository;;;
Pagani_HuayraCodalungaSpeedster_2025;Pagani;Pagani Huayra Codalunga Speedster;Pagani Huayra Codalunga Speedster;;repository;;;
Pagani_HuayraElite_2014;Pagani;#Ruby Rose's Pagani Huayra;Ruby Rose's Huayra;;repository;;;
Pagani_HuayraR_2021;Pagani;Pagani Huayra R;Pagani Huayra R;;repository;;;
Pagani_HuayraREvo_2024;Pagani;Pagani Huayra R Evo Roadster;Pagani Huayra R Evo Roadster;;repository;;;
Pagani_HuayraRoadsterReward_2017;Pagani;Pagani Huayra Roadster;Pagani Huayra Roadster;023,126;repository;repository;;
Pagani_HuayraRoadsterRewardRecycled_2017;Pagani;Pagani Huayra Roadster;Pagani Huayra Roadster;023,126;repository;repository;;
Pagani_Imola_2021;Pagani;Pagani Imola;Pagani Imola;;repository;;;
Pagani_ImolaGold_2021;Pagani;Pagani Imola (Gold);Pagani Imola;;repository;;;
Pagani_ImolaRoadster_2023;Pagani;Pagani Imola Roadster;Pagani Imola Roadster;;repository;;;
Pagani_UtopiaRoadster_2024;Pagani;Pagani Utopia Roadster;Pagani Utopia Roadster;;repository;;;
Pagani_ZondaBarchetta_2018;Pagani;Pagani Zonda HP Barchetta;Pagani Zonda HP Barchetta;;repository;;;
Pagani_ZondaCinqueCoupe_2009;Pagani;Pagani Zonda Cinque;Pagani Zonda Cinque;;repository;;;
Pagani_ZondaCinqueCoupeReward_2009;Pagani;Pagani Zonda Cinque Coupe;Pagani Zonda Cinque Coupe;174;repository;repository;;
Pagani_ZondaCinqueCoupeRewardRecycled_2009;Pagani;Pagani Zonda Cinque Coupe;Pagani Zonda Cinque Coupe;174;repository;repository;;
Pagani_ZondaCinqueRoadster_2010;Pagani;Pagani Zonda Cinque Roadster;Pagani Zonda Cinque Roadster;;repository;;;
Pagani_ZondaCinqueRoadsterReward_2010;Pagani;Pagani Zonda Cinque Roadster;Pagani Zonda Cinque Roadster;152,244;repository;repository;;
Pagani_ZondaCinqueRoadsterRewardRecycled_2010;Pagani;Pagani Zonda Cinque Roadster;Pagani Zonda Cinque Roadster;152,244;repository;repository;;
Pagani_ZondaREvoBarchetta_2021;Pagani;Pagani Zonda R Barchetta;Pagani Zonda R Barchetta;;repository;;;
Pagani_ZondaRevolucion_2013;Pagani;Pagani Zonda Revolucion;Pagani Zonda Revolucion;;repository;;;
Pininfarina_B95_2025;Pininfarina;Pininfarina B95;Pininfarina B95;;repository;;;
Pininfarina_Battista_2020;Pininfarina;Pininfarina Battista;Pininfarina Battista;;repository;;;
Pininfarina_BattistaNinoFarina_2023;Pininfarina;Pininfarina Battista Edizione Nino Farina;Pininfarina Battista Edizione Nino Farina;;repository;;;
Pininfarina_BattistaReward_2022;Pininfarina;Pininfarina Battista Anniversario;Pininfarina Battista Anniversario;196;repository;repository;;repository Stage6 file: [197]
Pininfarina_BattistaRewardRecycled_2022;Pininfarina;Pininfarina Battista;Pininfarina Battista;196;repository;repository;;repository Stage6 file: [197]
Placeholder_CoveredCar_1234;Placeholder Mystery;Placeholder Covered Car;Placeholder Covered Car;;automatic;;;
Plymouth_FormulaSBarracuda_1968;Plymouth;Plymouth Garret's Rod Shop Barracuda 'Hemi-S';Plymouth Garret's Rod Shop Barracuda ''Hemi-S'';;repository;;;
Plymouth_FormulaSBarracudaElite_1968;Plymouth;#Lau's Plymouth Garret's Rod Shop Barracuda 'Hemi-S';Lau's Plymouth Garret's Rod Shop Barracuda ''Hemi-S'';;repository;;;
Plymouth_FuryJimBelvedere_1958;Plymouth;Plymouth FuryJim Belverde 'Darlene Demon';Plymouth FuryJim Belverde 'Darlene Demon';;repository;;;
Plymouth_HemiCudaClassic_1971;Plymouth;Plymouth HEMI Cuda;Plymouth HEMI Cuda;;repository;;;
Plymouth_RidesByKamBarracuda_1970;Plymouth;Plymouth Rides by Kam Barracuda 'Notorious';Plymouth Rides by Kam Barracuda 'Notorious';;repository;;;
Plymouth_RingbrothersCuda_1970;Plymouth;Plymouth Ringbrothers Barracuda ''Infected'';Plymouth Ringbrothers Barracuda ''Infected'';;repository;;;
Plymouth_RoadRunnerGTXF8_1971;Plymouth;Plymouth Road Runner;Plymouth Road Runner;;repository;;;
Plymouth_RuffianCoupe_1935;Plymouth;Plymouth Ruffian Coupe 'GT-1';Plymouth Ruffian Coupe 'GT-1';;repository;;;
Plymouth_SuperbirdLPClassic_1970;Plymouth;Plymouth Superbird;Plymouth Superbird;;repository;;;
Plymouth_WeaverCustomsCudaTorcReward4thJuly_2016;Plymouth;Plymouth 'Cuda 'TorC' Weaver Customs (4th July);Plymouth Cuda ''TorC'' Weaver Customs;;repository;;;
Plymouth_WeaverCustomsCudaTorcReward_2016;Plymouth;Plymouth Cuda 'TorC' Weaver Customs;Plymouth Cuda ''TorC'' Weaver Customs;040;repository;repository;;
Plymouth_WeaverCustomsCudaTorcRewardRecycled_2016;Plymouth;Plymouth Cuda 'TorC' Weaver Customs;Plymouth 'Cuda ''TorC'' Weaver Customs;040;repository;repository;;
Pontiac_FieroF9_1986;Pontiac;Pontiac Fiero;Pontiac Fiero;;repository;;;
Pontiac_FirebirdTransAm_1977;Pontiac;Pontiac Firebird Trans Am;Pontiac Firebird Trans Am;;repository;;;
Pontiac_GTOTheJudgeClassic_1969;Pontiac;Pontiac GTO The Judge;Pontiac GTO The Judge;;repository;;;
Pontiac_HorizonMotorsportsTransAm_1973;Pontiac;Pontiac Horizon Motorsport Trans-Am 'Hammerhead';Pontiac Horizon Motorsport Trans-Am 'Hammerhead';;repository;;;
Pontiac_NHRFirebird_1970;Pontiac;Pontiac Firebird 'DraKon';Pontiac Firebird 'DraKon';;repository;;;
Pontiac_RyansFirebirdTransAm_1978;Pontiac;Pontiac Ryans Rod & Kustom Firebird Trans Am 'Mullet Missile';Pontiac Ryans Rod & Kustom Firebird Trans Am 'Mullet Missile';;repository;;;
Porsche_718BoxsterS_2017;Porsche;Porsche 718 Boxster S;Porsche 718 Boxster S;;repository;;;
Porsche_718BoxsterSpyder_2020;Porsche;Porsche 718 Boxster Spyder;Porsche 718 Boxster Spyder;;repository;;;
Porsche_718CaymanGT4_2020;Porsche;Porsche 718 Cayman GT4 2020;Porsche 718 Cayman GT4 2020;;repository;;;
Porsche_718CaymanGT4RS_2022;Porsche;Porsche 718 Cayman GT4 RS;Porsche 718 Cayman GT4 RS;;repository;;;
Porsche_718SpyderRSReward_2024;Porsche;Porsche 718 Spyder RS;Porsche 718 Spyder RS;194;repository;repository;;
Porsche_718SpyderRSRewardRecycled_2024;Porsche;Porsche 718 Spyder RS;Porsche 718 Spyder RS;194;repository;repository;;
Porsche_911Carrera4SCabrioletReward_2020;Porsche;Porsche 911 Carrera 4S Cabriolet;Porsche 911 Carrera 4S Cabriolet;073;repository;repository;;
Porsche_911Carrera4SCabrioletRewardRecycled_2020;Porsche;Porsche 911 Carrera 4S Cabriolet;Porsche 911 Carrera 4S Cabriolet;073;repository;repository;;
Porsche_911CarreraRS27LPClassic_1973;Porsche;Porsche 911 Carrera 2.7;Porsche 911 Carrera 2.7;;repository;;;
Porsche_911DakarReward_2023;Porsche;Porsche 911 Rallye;Porsche 911 Rallye;220;repository;repository;;
Porsche_911DakarRewardRecycled_2023;Porsche;Porsche 911 Rallye ''Rallye Design Package'';Porsche 911 Rallye ''Rallye Design Package'';220;repository;repository;;
Porsche_911GT1StraBenversion_1996;Porsche;Porsche 911 GT1 Straßenversion;Porsche 911 GT1 Straßenversion;;repository;;;
Porsche_911GT2_1993;Porsche;Porsche 911 GT2 (993);Porsche 911 GT2 (993);;repository;;;
Porsche_911GT2RS_2017;Porsche;Porsche 911 GT2 RS 'Weissach Package';Porsche 911 GT2 RS ''Weissach Package'';;repository;;;
Porsche_911GT2RSClubSport_2019;Porsche;Porsche 911 GT2 RS Clubsport;Porsche 911 GT2 RS Clubsport;;repository;;;
